front.login.samlButton,Acceder con SSO,es
front.login.userNotFound,El usuario que has indicado no existe. Vuelve a intentarlo o ponte en contacto con un administrador,es
front.notifications.acceptFriend,¡Acepto el reto!,es
front.notifications.addToRanking,¿a qué esperas para añadirlos a tu ranking?,es
front.notifications.addToRankingSingular,¿a qué esperas para añadirlo a tu ranking?,es
